Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Djibouti,DJI,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,2093587753,2320566760,2589795859,2760440109,2889566699,3056815683,
Dominica,DMA,GNI (current US$),NY.GNP.MKTP.CD,293780000,314727666.7,304894444.4,315924111.1,333495703.7,334905185.2,374875444.4,401390629.6,439483740.7,475049925.9,484012851.9,490107148.1,467371592.6,487599814.8,483916963,503558629.6,518958037,561033481.5,508221814.8,
Denmark,DNK,GNI (current US$),NY.GNP.MKTP.CD,1.60422E+11,1.62361E+11,1.76412E+11,2.16144E+11,2.51682E+11,2.66599E+11,2.86312E+11,3.21027E+11,3.57302E+11,3.24447E+11,3.27262E+11,3.51257E+11,3.34536E+11,3.54463E+11,3.65834E+11,3.11964E+11,3.19956E+11,3.37179E+11,3.60425E+11,
Dominican Republic,DOM,GNI (current US$),NY.GNP.MKTP.CD,23263872469,24507736087,26211022793,20249193312,20878221923,34214922138,36263984248,41782259070,46373601589,46539379523,51932987453,55775273801,58281935893,59709858701,63932556264,68228426721,72451547977,76204245976,81710390387,
Algeria,DZA,GNI (current US$),NY.GNP.MKTP.CD,52076074914,53147832675,54566040009,65411491698,81810538804,98110441482,1.12396E+11,1.33002E+11,1.69767E+11,1.35902E+11,1.60818E+11,1.97902E+11,2.05191E+11,2.05228E+11,2.09013E+11,1.61576E+11,1.5846E+11,1.64798E+11,,
East Asia & Pacific (excluding high income),EAP,GNI (current US$),NY.GNP.MKTP.CD,1.71471E+12,1.82616E+12,2.02797E+12,2.29802E+12,2.66922E+12,3.07822E+12,3.72576E+12,4.72882E+12,6.00477E+12,6.46892E+12,7.83305E+12,9.53656E+12,1.0682E+13,1.17285E+13,1.27102E+13,1.31745E+13,1.34081E+13,1.46187E+13,1.62073E+13,
Early-demographic dividend,EAR,GNI (current US$),NY.GNP.MKTP.CD,3.22666E+12,3.20881E+12,3.13493E+12,3.48369E+12,4.03372E+12,4.7022E+12,5.42045E+12,6.44475E+12,7.26739E+12,6.99538E+12,8.49195E+12,9.5148E+12,9.97766E+12,1.01542E+13,1.05292E+13,1.02282E+13,1.04749E+13,1.13113E+13,1.15711E+13,
East Asia & Pacific,EAS,GNI (current US$),NY.GNP.MKTP.CD,8.31311E+12,7.73671E+12,7.85389E+12,8.64544E+12,9.70361E+12,1.03262E+13,1.09839E+13,1.23011E+13,1.42081E+13,1.45966E+13,1.70054E+13,1.9675E+13,2.10936E+13,2.12756E+13,2.20116E+13,2.18421E+13,2.25395E+13,2.40362E+13,2.59988E+13,
Europe & Central Asia (excluding high income),ECA,GNI (current US$),NY.GNP.MKTP.CD,6.84499E+11,6.81345E+11,7.80122E+11,9.7809E+11,1.30025E+12,1.64631E+12,2.01044E+12,2.60952E+12,3.22347E+12,2.53267E+12,3.0222E+12,3.73102E+12,3.95437E+12,4.19772E+12,3.92943E+12,3.01979E+12,2.89124E+12,3.23859E+12,3.32123E+12,
Europe & Central Asia,ECS,GNI (current US$),NY.GNP.MKTP.CD,1.0024E+13,1.01198E+13,1.10472E+13,1.34742E+13,1.57383E+13,1.6778E+13,1.81491E+13,2.10977E+13,2.30403E+13,2.04027E+13,2.0941E+13,2.32016E+13,2.23473E+13,2.33374E+13,2.36419E+13,2.03398E+13,2.02961E+13,2.15017E+13,2.30323E+13,
Ecuador,ECU,GNI (current US$),NY.GNP.MKTP.CD,17103552776,23235924000,27296182806,30940439902,34751628403,39691563839,44974439620,49039661774,60333815821,61249036110,68518395428,78019902501,86645126782,93768814935,1.00183E+11,97561809463,98091990481,1.01931E+11,1.05475E+11,
