Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.339163189,4.225988349,1.418301923,4.268953958,3.961800303,1.382446567,2.311499185,3.678995747,4.858590628,5.737060361,3.911061955,4.524211505,8.891450911,3.25423911,2.916926921,4.784447007,6.397694803,5.59111591,4.269990205,1.951768211
East Asia & Pacific (excluding high income),EAP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.158518106,4.272670245,3.225083615,3.703697975,4.229497702,5.444812131,4.866320488,4.816765313,10.22666455,4.219030521,3.689012297,5.35604779,3.026963911,2.913541936,3.142990509,1.221270061,1.798457463,2.987725468,3.329910633,2.762520194
Early-demographic dividend,EAR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.993280471,3.779293122,4.237912219,5.603476754,4.433141367,4.869396969,5.796523376,6.21439995,10.5458043,4.530176591,4.156727227,5.826216088,5.018041554,4.827787055,4.129243069,3.09551722,3.371530035,3.463185945,4.129311137,2.772864429
East Asia & Pacific,EAS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.591969175,3.577554521,2.32033006,2.289156627,3.23751394,3.037023326,3.936162599,3.764002592,8.342086349,1.62173014,3.05725467,5.082594039,3.014899503,2.582687661,2.510876333,0.78951789,1.265344873,1.850787675,2.432841176,1.703978632
Europe & Central Asia (excluding high income),ECA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,18.70073428,8.562801065,5.698990479,4.721553366,6.961261359,8.179160368,7.261594628,8.426752735,12.3487196,3.466723732,6.281059347,7.668629556,3.316055667,3.984712355,2.981308689,4.003578207,1.275431684,3.153186175,2.613230593,3.103729448
Europe & Central Asia,ECS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.433516755,3.966271869,2.618243956,2.23386493,2.562734929,2.523928987,3.192884922,2.915982619,6.059740463,1.539132307,2.418906395,3.67125,2.770890453,1.733619743,0.592255589,0.338705695,0.372761399,1.875100596,2.013220754,1.784150974
Ecuador,ECU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,96.09411369,37.67802094,12.48401857,7.929410005,2.742181329,2.407769783,3.298748463,2.27618478,8.40009594,5.159968292,3.554377346,4.474532658,5.10172181,2.721775777,3.589220166,3.966646233,1.728264633,0.417335589,-0.224103246,0.266012515
"Egypt, Arab Rep.",EGY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.683805353,2.269757205,2.73723855,4.507776363,11.27061933,4.869396969,7.644526445,9.318969058,18.31683168,11.76349544,11.26518827,10.06492599,7.111729433,9.469719811,10.07021547,10.37049034,13.81360621,29.50660839,14.40146578,
Euro area,EMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.853030393,2.785165427,2.465323192,2.098472191,2.225679164,2.487696652,2.666314946,2.453965281,4.075660764,0.368041998,1.525516021,3.289449396,2.485673529,1.219993423,0.24104743,0.037514381,0.183334861,1.381458714,1.703497947,1.445667015
Eritrea,ERI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,
Spain,ESP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.433516755,3.589834949,3.065765372,3.039233684,3.03920165,3.368453988,3.515374911,2.787030473,4.075660764,-0.287996835,1.79988133,3.196146412,2.446000185,1.408546292,-0.150870313,-0.500461321,-0.202671741,1.956083333,1.675067615,0.699536242
Estonia,EST,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.018489525,5.748279817,3.571912702,1.334991165,3.048111075,4.079714232,4.437620424,6.601326031,10.36235803,-0.078408311,2.97204512,4.981901315,3.933399873,2.78056659,-0.106175147,-0.492326007,0.148684908,3.417235495,3.436326884,2.277259312
Ethiopia,ETH,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,0.675089102,13.6740452,3.327370479,9.969971235,12.29947631,17.24040083,44.35668588,8.483644045,-27.78737253,32.01478882,23.37858236,7.464021929,6.890019516,9.56889956,6.628133372,10.68711503,13.83303566,15.80963217
European Union,EUU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.15076707,3.37396699,2.424436612,2.09199839,2.286217068,2.487696652,2.666314946,2.510665652,4.164971935,0.839262247,1.531122704,3.289449396,2.662841655,1.219993423,0.199343827,-0.06164468,0.183334861,1.429107433,1.73860862,1.630522608
